         81348177 function calls (79901439 primitive calls) in 75.223 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    408/1    0.001    0.000    0.373    0.373 <frozen importlib._bootstrap_external>:877(exec_module)
      408    0.003    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       59    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        2    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.057    0.057 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:95(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:98(<listcomp>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       66    0.002    0.000    1.028    0.016 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        3    0.000    0.000    0.001    0.000 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:118(ParserError)
        1    0.000    0.000    0.000    0.000 __init__.py:120(dump)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
        1    0.000    0.000    0.000    0.000 __init__.py:141(_BaseVersion)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:143(DtypeWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:150(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        4    0.000    0.000    0.000    0.000 __init__.py:168(__ge__)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:18(IntCastingNaNError)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:187(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:192(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:193(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:198(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:212(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:221(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:253(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:273(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:273(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:30(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:311(NumbaUtilError)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:328(DuplicateLabelError)
       21    0.002    0.000    0.003    0.000 __init__.py:328(namedtuple)
   360616    0.139    0.000    0.139    0.000 __init__.py:33(using_copy_on_write)
        1    0.000    0.000    0.004    0.004 __init__.py:337(Version)
        7    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
       22    0.000    0.000    0.000    0.000 __init__.py:349(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:349(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:369(DataError)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:385(SpecificationError)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
      102    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:413(SettingWithCopyError)
        1    0.000    0.000    0.000    0.000 __init__.py:418(dev)
        3    0.000    0.000    0.000    0.000 __init__.py:426(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        8    0.000    0.000    0.000    0.000 __init__.py:43(using_pyarrow_string_dtype)
        1    0.000    0.000    0.000    0.000 __init__.py:435(SettingWithCopyWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:457(ChainedAssignmentError)
        1    0.000    0.000    0.000    0.000 __init__.py:46(PerformanceWarning)
       18    0.000    0.000    0.000    0.000 __init__.py:471(_parse_letter_version)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:506(NumExprClobberingError)
        6    0.000    0.000    0.000    0.000 __init__.py:509(_parse_local_version)
        6    0.000    0.000    0.000    0.000 __init__.py:521(_cmpkey)
        1    0.000    0.000    0.000    0.000 __init__.py:525(UndefinedVariableError)
        8    0.000    0.000    0.000    0.000 __init__.py:535(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:551(IndexingError)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        1    0.000    0.000    0.000    0.000 __init__.py:572(PyperclipException)
        1    0.000    0.000    0.000    0.000 __init__.py:58(NegativeInfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:580(PyperclipWindowsException)
        1    0.000    0.000    0.000    0.000 __init__.py:594(CSSWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:615(PossibleDataLossError)
        1    0.000    0.000    0.000    0.000 __init__.py:627(ClosedFileError)
        1    0.000    0.000    0.000    0.000 __init__.py:640(IncompatibilityWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:646(AttributeConflictWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:667(DatabaseError)
        1    0.000    0.000    0.000    0.000 __init__.py:67(_256Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:680(PossiblePrecisionLoss)
        1    0.000    0.000    0.000    0.000 __init__.py:695(ValueLabelTypeMismatch)
        1    0.000    0.000    0.000    0.000 __init__.py:70(_128Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:707(InvalidColumnName)
        1    0.000    0.000    0.000    0.000 __init__.py:72(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:722(CategoricalConversionWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:73(_96Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:736(LossySetitemError)
        1    0.000    0.000    0.000    0.000 __init__.py:746(NoBufferPresent)
        1    0.000    0.000    0.000    0.000 __init__.py:752(InvalidComparison)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:76(_80Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:79(_64Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:82(_32Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:831(SubclassedSeries)
        1    0.000    0.000    0.000    0.000 __init__.py:848(SubclassedDataFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:85(_16Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:860(SubclassedCategorical)
        1    0.000    0.000    0.000    0.000 __init__.py:88(_8Bit)
      516    0.001    0.000    0.001    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:91(UnsortedIndexError)
       98    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:79(<genexpr>)
