         81348177 function calls (79901439 primitive calls) in 75.223 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      401    0.000    0.000    0.000    0.000 base.py:3763(get_loc)
        1    0.000    0.000    0.000    0.000 base.py:3859(get_indexer)
        1    0.000    0.000    0.000    0.000 base.py:3945(_get_indexer)
        1    0.000    0.000    0.000    0.000 base.py:3990(_check_indexing_method)
        1    0.000    0.000    0.000    0.000 base.py:41(ExtensionDtype)
        1    0.000    0.000    0.000    0.000 base.py:410(StorageExtensionDtype)
        1    0.000    0.000    0.000    0.000 base.py:4311(_validate_can_reindex)
        1    0.000    0.000    0.000    0.000 base.py:4328(reindex)
       18    0.000    0.000    0.000    0.000 base.py:439(register_extension_dtype)
        1    0.000    0.000    0.000    0.000 base.py:4441(_wrap_reindex_result)
        1    0.000    0.000    0.000    0.000 base.py:4445(_maybe_preserve_names)
        4    0.000    0.000    0.000    0.000 base.py:459(_engine_type)
        1    0.000    0.000    0.000    0.000 base.py:462(Registry)
        1    0.000    0.000    0.000    0.000 base.py:478(__init__)
        7    0.000    0.000    0.001    0.000 base.py:478(__new__)
       18    0.000    0.000    0.000    0.000 base.py:481(register)
       17    0.000    0.000    0.000    0.000 base.py:510(find)
       82    0.000    0.000    0.000    0.000 base.py:5127(_values)
        5    0.000    0.000    0.000    0.000 base.py:5153(_get_engine_target)
        1    0.000    0.000    0.000    0.000 base.py:52(DataManager)
   360213    0.588    0.000    0.627    0.000 base.py:5300(__contains__)
       42    0.000    0.000    0.000    0.000 base.py:5350(__getitem__)
        4    0.000    0.000    0.000    0.000 base.py:539(<genexpr>)
        4    0.000    0.000    0.000    0.000 base.py:5519(equals)
        2    0.000    0.000    0.000    0.000 base.py:5610(identical)
        2    0.000    0.000    0.000    0.000 base.py:5635(<genexpr>)
        7    0.000    0.000    0.000    0.000 base.py:574(_ensure_array)
        7    0.000    0.000    0.000    0.000 base.py:592(_dtype_to_subclass)
        2    0.000    0.000    0.000    0.000 base.py:61(__len__)
      763    0.000    0.000    0.000    0.000 base.py:6239(_index_as_unique)
        1    0.000    0.000    0.000    0.000 base.py:6251(_maybe_promote)
        1    0.000    0.000    0.000    0.000 base.py:6321(_should_compare)
        1    0.000    0.000    0.000    0.000 base.py:6343(_is_comparable_dtype)
        7    0.000    0.000    0.000    0.000 base.py:649(_simple_new)
      401    0.000    0.000    0.000    0.000 base.py:6612(_maybe_cast_indexer)
        1    0.000    0.000    0.000    0.000 base.py:6619(_maybe_cast_listlike_indexer)
        3    0.000    0.000    0.000    0.000 base.py:69(shape)
        8    0.000    0.000    0.000    0.000 base.py:71(<genexpr>)
   360218    0.258    0.000    0.718    0.000 base.py:73(_validate_set_axis)
        1    0.000    0.000    0.000    0.000 base.py:7481(ensure_index_from_sequences)
   720447    0.233    0.000    0.314    0.000 base.py:7521(ensure_index)
        1    0.000    0.000    0.000    0.000 base.py:7580(ensure_has_len)
   360226    0.258    0.000    0.807    0.000 base.py:7616(maybe_extract_name)
        1    0.000    0.000    0.000    0.000 base.py:7651(_unpack_nested_dtype)
        4    0.000    0.000    0.000    0.000 base.py:791(is_)
        8    0.000    0.000    0.000    0.000 base.py:831(_reset_identity)
   360236    0.723    0.000    1.993    0.000 base.py:836(__iter__)
        4    0.000    0.000    0.000    0.000 base.py:842(_engine)
       59    0.000    0.000    0.000    0.000 base.py:909(__len__)
        7    0.000    0.000    0.000    0.000 base.py:974(dtype)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_parser.py:100(ParserBase)
        1    0.000    0.000    0.000    0.000 base_parser.py:101(BadLineHandleMethod)
        1    0.000    0.000    0.000    0.000 base_parser.py:1026(_clean_index_names)
        2    0.000    0.000    0.000    0.000 base_parser.py:1113(_make_date_converter)
        2    0.000    0.000    0.000    0.000 base_parser.py:114(__init__)
        2    0.000    0.000    0.000    0.000 base_parser.py:1247(_process_date_conversion)
        2    0.000    0.000    0.000    0.000 base_parser.py:1404(_validate_parse_dates_arg)
        7    0.000    0.000    0.000    0.000 base_parser.py:1425(is_index_col)
        2    0.000    0.000    0.000    0.000 base_parser.py:190(_validate_parse_dates_presence)
        2    0.000    0.000    0.000    0.000 base_parser.py:234(<setcomp>)
        2    0.000    0.000    0.000    0.000 base_parser.py:246(<listcomp>)
        3    0.000    0.000    0.000    0.000 base_parser.py:254(_has_complex_date_col)
        1    0.000    0.000    0.000    0.000 base_parser.py:263(_should_parse_dates)
        2    0.000    0.000    0.000    0.000 base_parser.py:278(_extract_multi_indexer_columns)
        2    0.000    0.000    0.000    0.000 base_parser.py:349(_maybe_make_multi_index_columns)
        2    0.000    0.000    0.000    0.000 base_parser.py:361(_make_index)
        1    0.000    0.000    0.000    0.000 base_parser.py:392(_get_simple_index)
        1    0.000    0.000    0.000    0.000 base_parser.py:394(ix)
        2    0.000    0.000    0.000    0.000 base_parser.py:443(_clean_mapping)
        1    0.000    0.000    0.000    0.000 base_parser.py:461(_agg_index)
        2    0.000    0.000    0.000    0.000 base_parser.py:600(_set_noconvert_dtype_columns)
        1    0.000    0.000    0.000    0.000 base_parser.py:669(_infer_types)
        2    0.000    0.000    0.000    0.000 base_parser.py:861(_do_date_conversions)
        2    0.000    0.000    0.000    0.000 base_parser.py:883(_check_data_length)
        2    0.000    0.000    0.000    0.000 base_parser.py:976(_validate_usecols_arg)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 blocks.py:1(<module>)
       21    0.000    0.000    0.000    0.000 blocks.py:1007(iget)
        1    0.000    0.000    0.000    0.000 blocks.py:1041(take_nd)
        1    0.000    0.000    0.000    0.000 blocks.py:137(maybe_split)
        1    0.000    0.000    0.000    0.000 blocks.py:154(Block)
        1    0.000    0.000    0.000    0.000 blocks.py:1698(EABackedBlock)
        2    0.000    0.000    0.000    0.000 blocks.py:187(is_extension)
        2    0.000    0.000    0.000    0.000 blocks.py:192(_can_consolidate)
        1    0.000    0.000    0.000    0.000 blocks.py:1964(ExtensionBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2232(NumpyBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2258(NumericBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:226(fill_value)
        1    0.000    0.000    0.000    0.000 blocks.py:2264(ObjectBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2270(NDArrayBackedExtensionBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2297(DatetimeLikeBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2305(DatetimeTZBlock)
   360216    0.452    0.000    0.834    0.000 blocks.py:2317(maybe_coerce_values)
   360219    0.275    0.000    0.382    0.000 blocks.py:2346(get_block_type)
   360216    0.648    0.000    1.031    0.000 blocks.py:2388(new_block)
        1    0.000    0.000    0.000    0.000 blocks.py:2467(extend_blocks)
        1    0.000    0.000    0.000    0.000 blocks.py:265(make_block_same_class)
        3    0.000    0.000    0.000    0.000 blocks.py:583(dtype)
        1    0.000    0.000    0.000    0.000 blocks.py:639(copy)
        1    0.000    0.000    0.000    0.000 boolean.py:1(<module>)
        1    0.000    0.000    0.000    0.000 boolean.py:238(BooleanArray)
        1    0.000    0.000    0.000    0.000 boolean.py:39(BooleanDtype)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:1(<module>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:194(close)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:201(_set_noconvert_columns)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:212(<dictcomp>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:213(<listcomp>)
        2    0.000    0.000    0.001    0.001 c_parser_wrapper.py:222(read)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:326(<listcomp>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:330(<dictcomp>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:355(_concatenate_chunks)
       23    0.000    0.000    0.000    0.000 c_parser_wrapper.py:367(<listcomp>)
       23    0.000    0.000    0.000    0.000 c_parser_wrapper.py:369(<setcomp>)
       23    0.000    0.000    0.000    0.000 c_parser_wrapper.py:370(<setcomp>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:392(ensure_dtype_objs)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:56(CParserWrapper)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:60(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:150(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:156(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:162(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:26(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:295(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:33(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:412(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:548(different_locale)
        4    0.000    0.000    0.000    0.000 calendar.py:55(<lambda>)
        1    0.000    0.000    0.000    0.000 calendar.py:560(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:57(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:583(LocaleHTMLCalendar)
       52    0.000    0.000    0.000    0.000 calendar.py:60(__getitem__)
        1    0.000    0.000    0.000    0.000 calendar.py:71(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:74(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:76(__init__)
       28    0.000    0.000    0.000    0.000 calendar.py:79(__getitem__)
        1    0.000    0.000    0.000    0.000 cast.py:1(<module>)
        8    0.000    0.000    0.000    0.000 cast.py:1147(maybe_infer_to_datetimelike)
        6    0.000    0.000    0.000    0.000 cast.py:119(maybe_convert_platform)
        8    0.000    0.000    0.000    0.000 cast.py:1544(construct_1d_object_array_from_listlike)
        1    0.000    0.000    0.000    0.000 cast.py:550(maybe_promote)
        1    0.000    0.000    0.000    0.000 cast.py:605(_maybe_promote_cached)
        1    0.000    0.000    0.000    0.000 cast.py:613(_maybe_promote)
        2    0.000    0.000    0.003    0.002 categorical.py:1(<module>)
        6    0.000    0.000    0.000    0.000 categorical.py:119(_cat_compare_op)
        1    0.000    0.000    0.000    0.000 categorical.py:243(Categorical)
        1    0.000    0.000    0.000    0.000 categorical.py:2724(CategoricalAccessor)
        1    0.000    0.000    0.000    0.000 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 category.py:53(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.000    0.000 check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 clipboards.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        6    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        6    0.000    0.000    0.000    0.000 codecs.py:331(getstate)
        6    0.000    0.000    0.004    0.001 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:100(IOHandles)
        1    0.000    0.000    0.000    0.000 common.py:1012(_BytesZipFile)
        4    0.000    0.000    0.000    0.000 common.py:1025(needs_i8_conversion)
        1    0.000    0.000    0.000    0.000 common.py:1049(_IOWrapper)
        1    0.000    0.000    0.000    0.000 common.py:1066(is_numeric_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1078(_BytesIOWrapper)
        1    0.000    0.000    0.000    0.000 common.py:1107(<lambda>)
        2    0.000    0.000    0.000    0.000 common.py:1107(_maybe_memory_map)
        4    0.000    0.000    0.000    0.000 common.py:1155(_is_binary_mode)
        1    0.000    0.000    0.000    0.000 common.py:1176(_get_binary_io_classes)
        4    0.000    0.000    0.000    0.000 common.py:1194(is_potential_multi_index)
        4    0.000    0.000    0.000    0.000 common.py:121(classes)
        2    0.000    0.000    0.000    0.000 common.py:121(close)
        8    0.000    0.000    0.000    0.000 common.py:1219(<genexpr>)
        2    0.000    0.000    0.000    0.000 common.py:1223(dedup_names)
        4    0.000    0.000    0.000    0.000 common.py:123(<lambda>)
       22    0.000    0.000    0.000    0.000 common.py:1255(is_1d_only_ea_dtype)
        1    0.000    0.000    0.000    0.000 common.py:126(_classes_and_not_datetimelike)
        1    0.000    0.000    0.000    0.000 common.py:131(<lambda>)
       14    0.000    0.000    0.000    0.000 common.py:1322(is_ea_or_datetimelike_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1366(_is_dtype)
        4    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1390(_get_dtype)
        5    0.000    0.000    0.000    0.000 common.py:1425(_is_dtype_type)
        2    0.000    0.000    0.000    0.000 common.py:145(is_url)
       42    0.000    0.000    0.000    0.000 common.py:149(cast_scalar_indexer)
   720430    0.467    0.000    1.575    0.000 common.py:1562(validate_all_hashable)
  1440860    0.404    0.000    0.759    0.000 common.py:1581(<genexpr>)
   360231    0.234    0.000    0.379    0.000 common.py:1587(pandas_dtype)
        6    0.000    0.000    0.000    0.000 common.py:173(_expand_user)
        1    0.000    0.000    0.000    0.000 common.py:185(all_none)
        2    0.000    0.000    0.000    0.000 common.py:189(<genexpr>)
        2    0.000    0.000    0.000    0.000 common.py:192(validate_header_arg)
        1    0.000    0.000    0.000    0.000 common.py:228(asarray_tuplesafe)
        4    0.000    0.000    0.000    0.000 common.py:233(stringify_path)
       64    0.000    0.000    0.000    0.000 common.py:24(unpack_zerodim_and_defer)
        2    0.000    0.000    0.000    0.000 common.py:277(is_fsspec_url)
        2    0.000    0.000    0.000    0.000 common.py:289(_get_filepath_or_buffer)
        2    0.000    0.000    0.000    0.000 common.py:296(maybe_iterable_to_list)
   360973    0.137    0.000    0.193    0.000 common.py:367(apply_if_callable)
       64    0.000    0.000    0.001    0.000 common.py:37(wrapper)
       64    0.000    0.000    0.001    0.000 common.py:43(_unpack_zerodim_and_defer)
        2    0.000    0.000    0.000    0.000 common.py:503(get_compression_method)
        2    0.000    0.000    0.000    0.000 common.py:514(is_string_or_object_np_dtype)
        2    0.000    0.000    0.000    0.000 common.py:538(infer_compression)
   360238    0.194    0.000    0.585    0.000 common.py:556(require_length_match)
   360212    0.428    0.000   50.951    0.000 common.py:62(new_method)
        2    0.000    0.000    0.001    0.000 common.py:652(get_handle)
   360212    0.247    0.000    0.982    0.000 common.py:81(get_op_result_name)
        1    0.000    0.000    0.000    0.000 common.py:87(IOArgs)
        2    0.000    0.000    0.000    0.000 common.py:91(ensure_python_int)
        1    0.000    0.000    0.000    0.000 common.py:932(_BufferedWriter)
        1    0.000    0.000    0.000    0.000 common.py:958(_BytesTarFile)
   360212    0.497    0.000    0.594    0.000 common.py:977(is_numeric_v_string_like)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.004    0.004 compressors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compressors.py:52(BZ2File)
        1    0.000    0.000    0.000    0.000 compressors.py:67(LZMAFile)
        3    0.000    0.000    0.000    0.000 concat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 concat.py:350(JoinUnit)
        1    0.000    0.000    0.000    0.000 concat.py:396(_Concatenator)
       23    0.000    0.000    0.000    0.000 concat.py:52(concat_compat)
       23    0.000    0.000    0.000    0.000 concat.py:73(<listcomp>)
        1    0.000    0.000    0.009    0.009 config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:109(OptionError)
   360220    0.606    0.000    1.483    0.000 config.py:127(_get_single_key)
   360220    0.337    0.000    2.352    0.000 config.py:145(_get_option)
        1    0.000    0.000    0.000    0.000 config.py:220(DictWrapper)
        1    0.000    0.000    0.000    0.000 config.py:223(__init__)
        1    0.000    0.000    0.000    0.000 config.py:266(CallableDynamicDoc)
        4    0.000    0.000    0.000    0.000 config.py:267(__init__)
   360220    0.227    0.000    2.579    0.000 config.py:271(__call__)
        1    0.000    0.000    0.000    0.000 config.py:456(option_context)
       71    0.001    0.000    0.001    0.000 config.py:489(register_option)
        1    0.000    0.000    0.000    0.000 config.py:564(deprecate_option)
   360220    0.146    0.000    0.146    0.000 config.py:615(_select_options)
   360220    0.429    0.000    0.532    0.000 config.py:633(_get_root)
   720440    0.365    0.000    0.365    0.000 config.py:647(_get_deprecated_option)
   360220    0.125    0.000    0.236    0.000 config.py:674(_translate_key)
   360220    0.147    0.000    0.401    0.000 config.py:686(_warn_if_deprecated)
       50    0.000    0.000    0.000    0.000 config.py:778(config_prefix)
       75    0.000    0.000    0.000    0.000 config.py:808(wrap)
       71    0.000    0.000    0.001    0.000 config.py:809(inner)
        1    0.000    0.000    0.000    0.000 config.py:81(DeprecatedOption)
        4    0.000    0.000    0.000    0.000 config.py:833(is_type_factory)
       23    0.000    0.000    0.000    0.000 config.py:847(inner)
        8    0.000    0.000    0.000    0.000 config.py:854(is_instance_factory)
        9    0.000    0.000    0.000    0.000 config.py:873(inner)
        1    0.000    0.000    0.000    0.000 config.py:88(RegisteredOption)
       21    0.001    0.000    0.001    0.000 config.py:880(is_one_of_factory)
       21    0.000    0.000    0.000    0.000 config.py:881(<listcomp>)
       21    0.000    0.000    0.000    0.000 config.py:882(<listcomp>)
       21    0.000    0.000    0.000    0.000 config.py:884(inner)
        9    0.000    0.000    0.000    0.000 config.py:897(is_nonnegative_int)
        1    0.000    0.000    0.002    0.002 config_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config_init.py:295(is_terminal)
        1    0.000    0.000    0.000    0.000 config_init.py:646(register_plotting_backend_cb)
        1    0.000    0.000    0.000    0.000 console.py:1(<module>)
        2    0.000    0.000    0.000    0.000 construction.py:1(<module>)
        2    0.000    0.000    0.000    0.000 construction.py:196(mgr_to_mgr)
   720457    0.358    0.000    0.420    0.000 construction.py:420(extract_array)
        2    0.000    0.000    0.002    0.001 construction.py:423(dict_to_mgr)
  1080647    0.601    0.000    0.700    0.000 construction.py:485(ensure_wrapped_if_datetimelike)
        2    0.000    0.000    0.000    0.000 construction.py:487(<listcomp>)
   360245    1.589    0.000    4.329    0.000 construction.py:519(sanitize_array)
        2    0.000    0.000    0.000    0.000 construction.py:596(_homogenize)
        8    0.000    0.000    0.000    0.000 construction.py:687(_sanitize_non_ordered)
   360245    0.257    0.000    0.535    0.000 construction.py:695(_sanitize_ndim)
   360245    0.173    0.000    0.226    0.000 construction.py:734(_sanitize_str_dtypes)
   360245    0.174    0.000    0.224    0.000 construction.py:754(_maybe_repeat)
   360214    0.554    0.000    0.743    0.000 construction.py:765(_try_cast)
        2    0.000    0.000    0.000    0.000 construction.py:96(arrays_to_mgr)
       25    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
       25    0.000    0.000    0.000    0.000 contextlib.py:130(__enter__)
       25    0.000    0.000    0.000    0.000 contextlib.py:139(__exit__)
       18    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
       25    0.000    0.000    0.000    0.000 contextlib.py:279(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:63(_recreate_cm)
        2    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.001    0.001 contexts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        2    0.000    0.000    0.000    0.000 copy.py:107(_copy_immutable)
        3    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1125(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1283(_replace_dtype_fields_recursive)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 core.py:1329(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1362(getmask)
        1    0.000    0.000    0.000    0.000 core.py:148(MAError)
        1    0.000    0.000    0.000    0.000 core.py:156(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:190(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:194(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2372(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2378(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2544(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2589(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2952(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3127(view)
        4    0.000    0.000    0.000    0.000 core.py:3417(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3433(shape)
        1    0.000    0.000    0.000    0.000 core.py:6345(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6540(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6544(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6568(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6643(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6735(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6744(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6844(_frommethod)
       26    0.000    0.000    0.001    0.000 core.py:6855(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6860(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:797(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:806(__init__)
        1    0.000    0.000    0.000    0.000 core.py:822(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:830(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8376(_convert2ma)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:84(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:840(_DomainSafeDivide)
       13    0.000    0.000    0.000    0.000 core.py:8406(_replace_return_type)
        6    0.000    0.000    0.000    0.000 core.py:846(__init__)
        1    0.000    0.000    0.000    0.000 core.py:861(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:867(__init__)
        1    0.000    0.000    0.000    0.000 core.py:877(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:883(__init__)
        1    0.000    0.000    0.000    0.000 core.py:893(_MaskedUFunc)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
        1    0.000    0.000    0.000    0.000 core.py:903(_MaskedUnaryOperation)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 core.py:977(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:130(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:165(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:23(Dialect)
        1    0.000    0.000    0.000    0.000 csv.py:54(excel)
        1    0.000    0.000    0.000    0.000 csv.py:64(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:69(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:181(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:202(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:1014(<listcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:1040(<listcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:1043(<listcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:1049(<listcomp>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1059(<listcomp>)
       14    0.000    0.000    0.000    0.000 dataclasses.py:1098(<genexpr>)
        3    0.000    0.000    0.001    0.000 dataclasses.py:1156(dataclass)
        3    0.000    0.000    0.002    0.001 dataclasses.py:1174(wrap)
        3    0.000    0.000    0.000    0.000 dataclasses.py:227(_recursive_repr)
       11    0.000    0.000    0.000    0.000 dataclasses.py:286(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:326(__set_name__)
        3    0.000    0.000    0.000    0.000 dataclasses.py:345(__init__)
       11    0.000    0.000    0.000    0.000 dataclasses.py:367(field)
        3    0.000    0.000    0.000    0.000 dataclasses.py:391(_fields_in_init_order)
       14    0.000    0.000    0.000    0.000 dataclasses.py:395(<genexpr>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:396(<genexpr>)
        9    0.000    0.000    0.000    0.000 dataclasses.py:400(_tuple_str)
        9    0.000    0.000    0.000    0.000 dataclasses.py:409(<listcomp>)
       16    0.000    0.000    0.001    0.000 dataclasses.py:412(_create_fn)
       58    0.000    0.000    0.000    0.000 dataclasses.py:424(<genexpr>)
       11    0.000    0.000    0.000    0.000 dataclasses.py:436(_field_assign)
       11    0.000    0.000    0.000    0.000 dataclasses.py:448(_field_init)
       11    0.000    0.000    0.000    0.000 dataclasses.py:508(_init_param)
        3    0.000    0.000    0.000    0.000 dataclasses.py:527(_init_fn)
        3    0.000    0.000    0.000    0.000 dataclasses.py:547(<dictcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:572(<listcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:587(_repr_fn)
        3    0.000    0.000    0.000    0.000 dataclasses.py:591(<listcomp>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:598(_frozen_get_del_attr)
        3    0.000    0.000    0.000    0.000 dataclasses.py:602(<genexpr>)
        7    0.000    0.000    0.001    0.000 dataclasses.py:623(_cmp_fn)
        1    0.000    0.000    0.000    0.000 dataclasses.py:637(_hash_fn)
       22    0.000    0.000    0.000    0.000 dataclasses.py:645(_is_classvar)
       22    0.000    0.000    0.000    0.000 dataclasses.py:653(_is_initvar)
       22    0.000    0.000    0.000    0.000 dataclasses.py:659(_is_kw_only)
       33    0.000    0.000    0.000    0.000 dataclasses.py:663(_is_type)
       11    0.000    0.000    0.000    0.000 dataclasses.py:722(_get_field)
       19    0.000    0.000    0.000    0.000 dataclasses.py:817(_set_qualname)
